20                                      Ekin                  Epot 0                  Epot 1                  Etot 0                  Etot 1                   Pop 0                   Pop 1
150                       0.0896374665120344   -302.8046260760862651   -302.7123103353061424   -302.8046260760862651   -302.7123103353061424      0.0347642652487216      0.9652357349611885
151                       0.0900800904024333   -302.8035724836992131   -302.7121799328330667   -302.8035724836992131   -302.7121799328330667      0.0438742558409290      0.9561257442984624
152                       0.0912600810011700   -302.8024805591687141   -302.7119834072944400   -302.8024805591687141   -302.7119834072944400      0.0485613028529253      0.9514386972373521
153                       0.0928248518886345   -302.8014805473999900   -302.7118858051512689   -302.8014805473999900   -302.7118858051512689      0.0460349987823845      0.9539650011104639
154                       0.0941617667532868   -302.8004478855792172   -302.7117633898581630   -302.8004478855792172   -302.7117633898581630      0.0420118121129068      0.9579881880635646
155                       0.0945032438419696   -302.7994469626525529   -302.7115812857856554   -302.7994469626525529   -302.7115812857856554      0.0406639488857768      0.9593360510893357
156                       0.0936279468261202   -302.7985254517101907   -302.7113324106031769   -302.7985254517101907   -302.7113324106031769      0.0415421077622733      0.9584578923446875
157                       0.0921199328432037   -302.7976365074187584   -302.7110793329312060   -302.7976365074187584   -302.7110793329312060      0.0427937247612836      0.9572062750007979
158                       0.0908372445704836   -302.7967338918845712   -302.7108702555049717   -302.7967338918845712   -302.7108702555049717      0.0439385431919399      0.9560614565703842
159                       0.0901946776682829   -302.7957760499423898   -302.7106838909753606   -302.7957760499423898   -302.7106838909753606      0.0450594737631907      0.9549405262162873
160                       0.0900452664280510   -302.7947665000476150   -302.7104983041951414   -302.7947665000476150   -302.7104983041951414      0.0458446367778918      0.9541553632391691
161                       0.0900537283906921   -302.7937928066706945   -302.7102896631327553   -302.7937928066706945   -302.7102896631327553      0.0477258605791070      0.9522741394085211
162                       0.0901285202534519   -302.7929113616482937   -302.7100642248385043   -302.7929113616482937   -302.7100642248385043      0.0507544251127586      0.9492455749320181
163                       0.0902859814948253   -302.7921008837638510   -302.7098716531323817   -302.7921008837638510   -302.7098716531323817      0.0522520704414258      0.9477479297654441
164                       0.0904278166576493   -302.7913670418651009   -302.7096905213221589   -302.7913670418651009   -302.7096905213221589      0.0565563424377011      0.9434436575733368
165                       0.0907502648985639   -302.7904808424491989   -302.7092314418536034   -302.7904808424491989   -302.7092314418536034      0.0624128522345876      0.9375871480605036
166                       0.0909574442810233   -302.7899209387497308   -302.7090201241721275   -302.7899209387497308   -302.7090201241721275      0.0695270548439871      0.9304729447177661
167                       0.0915086536727085   -302.7894045724459033   -302.7088202769055556   -302.7894045724459033   -302.7088202769055556      0.0766102207544747      0.9233897795584122
168                       0.0923462727268623   -302.7889109029802626   -302.7086126252638110   -302.7889109029802626   -302.7086126252638110      0.1057974198579423      0.8942025781972021
169                       0.0954491758555283   -302.7862608257480019   -302.7061813908460977   -302.7862608257480019   -302.7061813908460977      0.1453676214806185      0.8546323783131667
170                       0.0960849222268614   -302.7857279523536818   -302.7058151584752750   -302.7857279523536818   -302.7058151584752750      0.1702050989764179      0.8297949022497126
171                       0.0963399490619665   -302.7852082456842027   -302.7054716607389082   -302.7852082456842027   -302.7054716607389082      0.1830531597049824      0.8169468403138670
172                       0.0963894627084468   -302.7846873252544810   -302.7051618981757883   -302.7846873252544810   -302.7051618981757883      0.1887236067134609      0.8112763936996352
173                       0.0965755876809829   -302.7841739701558481   -302.7048687518263819   -302.7841739701558481   -302.7048687518263819      0.1912139234414715      0.8087860763861651
174                       0.0972123645829955   -302.7836913486532922   -302.7046231061855224   -302.7836913486532922   -302.7046231061855224      0.1926571941936992      0.8073428056490225
175                       0.0982256649032684   -302.7832249416943569   -302.7044159911357610   -302.7832249416943569   -302.7044159911357610      0.1939578055023185      0.8060421944426442
176                       0.0991755443107771   -302.7827555403193855   -302.7041829382597484   -302.7827555403193855   -302.7041829382597484      0.1951987617346202      0.8048012379496240
177                       0.0997288325252367   -302.7823383595573432   -302.7038647006633028   -302.7823383595573432   -302.7038647006633028      0.1972032895232678      0.8027967100683659
178                       0.0999320317264722   -302.7820335964500487   -302.7034639180424733   -302.7820335964500487   -302.7034639180424733      0.2002177745296390      0.7997822253841701
179                       0.0999949464672280   -302.7818223797236215   -302.7030112623436935   -302.7818223797236215   -302.7030112623436935      0.2028497775761882      0.7971502220507467
180                       0.1001228925600448   -302.7816421075244762   -302.7024840051780075   -302.7816421075244762   -302.7024840051780075      0.2049648871562215      0.7950351132553261
181                       0.1006360952433703   -302.7812273322052761   -302.7019659983070596   -302.7812273322052761   -302.7019659983070596      0.2070724320926839      0.7929275680662539
182                       0.1013665200526677   -302.7805840844414433   -302.7014777032541133   -302.7805840844414433   -302.7014777032541133      0.2101003773188838      0.7898996225737857
183                       0.1018628888121989   -302.7799479045019098   -302.7009527576703363   -302.7799479045019098   -302.7009527576703363      0.2156193501464750      0.7843806495990800
184                       0.1020948095214771   -302.7793447915537968   -302.7003726217276380   -302.7793447915537968   -302.7003726217276380      0.2265836258492203      0.7734163738686261
